CycNo,LAT,LON,TIME,YEAR,A_VMAX,VMAX
5453,8.59999942779541,168.0,33725.0,1951,36.75697043235601,46.05418225941361
5453,8.5,168.8000030517578,33725.25,1951,44.829838466698966,54.897903080019375
5453,8.5,169.5,33725.5,1951,53.24278958784033,63.945673752704195
5453,8.5,170.09999084472656,33725.75,1951,57.56685117015133,68.5401107020908
5453,8.59999942779541,170.8000030517578,33726.0,1951,61.964828296999414,73.17889697819965
5453,8.800000190734863,171.5,33726.25,1951,70.97099572856845,82.58259743714106
5453,9.0,171.8000030517578,33726.5,1951,80.24069413092387,92.14441647855432
5453,9.5,172.0,33726.75,1951,89.75658973133511,101.85395383880106
5453,10.0,172.09999084472656,33727.0,1951,80.24069413092387,92.14441647855432
5453,10.199999809265137,172.0,33727.25,1951,70.97099572856845,82.58259743714106
5453,10.59999942779541,171.6999969482422,33727.5,1951,70.97099572856845,82.58259743714106
5453,10.800000190734863,171.39999389648438,33727.75,1951,70.97099572856845,82.58259743714106
5453,10.899999618530273,171.09999084472656,33728.0,1951,80.24069413092387,92.14441647855432
5453,11.0,170.0,33728.25,1951,70.97099572856845,82.58259743714106
5453,11.09999942779541,169.0,33728.5,1951,57.56685117015133,68.5401107020908
5453,11.0,168.0,33728.75,1951,44.829838466698966,54.897903080019375
5453,10.59999942779541,167.0,33729.0,1951,29.063924992675314,37.43835499560519
5453,10.09999942779541,165.8000030517578,33729.25,1951,25.375734175912804,33.22544050554768
5453,10.0,164.1999969482422,33729.5,1951,21.80389928443518,29.082339570661105
5453,10.199999809265137,163.09999084472656,33729.75,1951,18.358641431677302,25.015184859006382
5453,10.800000190734863,162.09999084472656,33730.0,1951,18.358641431677302,25.015184859006382
5459,7.299999713897705,142.8000030517578,33765.5,1951,18.358641431677302,25.015184859006382
5459,7.3999996185302725,142.39999389648438,33765.75,1951,25.375734175912804,33.22544050554768
5459,7.799999713897705,141.8000030517578,33766.0,1951,32.86003657748616,41.71602194649169
5459,8.199999809265138,141.09999084472656,33766.25,1951,36.75697043235601,46.05418225941361
5459,8.5,140.19999694824222,33766.5,1951,40.74865719140236,50.449194314841414
5459,8.800000190734863,139.39999389648438,33766.75,1951,40.74865719140236,50.449194314841414
5459,9.0,137.80000305175778,33767.0,1951,40.74865719140236,50.449194314841414
5459,9.0,136.80000305175778,33767.25,1951,44.829838466698966,54.897903080019375
5459,9.199999809265137,135.80000305175778,33767.5,1951,44.829838466698966,54.897903080019375
5459,9.699999809265137,134.80000305175778,33767.75,1951,40.74865719140236,50.449194314841414
5459,10.0,134.5,33768.0,1951,36.75697043235601,46.05418225941361
5459,10.5,134.09999084472656,33768.25,1951,44.829838466698966,54.897903080019375
5459,11.0,133.5,33768.5,1951,53.24278958784033,63.945673752704195
5459,11.199999809265137,133.19999694824222,33768.75,1951,61.964828296999414,73.17889697819965
5459,11.199999809265137,132.19999694824222,33769.0,1951,70.97099572856845,82.58259743714106
5459,11.0,131.89999389648438,33769.25,1951,89.75658973133511,101.85395383880106
5459,11.0,131.19999694824222,33769.5,1951,99.50386178758549,111.7023170725513
5459,11.300000190734865,130.69999694824222,33769.75,1951,109.46966987887343,121.68180192732406
5459,12.0,129.39999389648438,33770.0,1951,119.64276469631619,131.7856588177897
5459,12.09999942779541,127.79999542236328,33770.25,1951,109.46966987887343,121.68180192732406
5459,12.0,126.5999984741211,33770.5,1951,99.50386178758549,111.7023170725513
5459,12.09999942779541,125.39999389648438,33770.75,1951,80.24069413092387,92.14441647855432
5459,12.199999809265135,124.6999969482422,33771.0,1951,53.24278958784033,63.945673752704195
5459,12.300000190734865,123.79999542236328,33771.25,1951,44.829838466698966,54.897903080019375
5459,12.59999942779541,123.0999984741211,33771.5,1951,40.74865719140236,50.449194314841414
5459,13.09999942779541,122.0,33771.75,1951,36.75697043235601,46.05418225941361
5459,13.59999942779541,121.1999969482422,33772.0,1951,32.86003657748616,41.71602194649169
5459,14.299999237060547,120.39999389648438,33772.25,1951,29.063924992675314,37.43835499560519
5459,14.799999237060547,119.79999542236328,33772.5,1951,29.063924992675314,37.43835499560519
5459,15.199999809265135,118.89999389648438,33772.75,1951,29.063924992675314,37.43835499560519
5459,16.299999237060547,117.79999542236328,33773.0,1951,40.74865719140236,50.449194314841414
5459,17.19999885559082,117.89999389648438,33773.25,1951,40.74865719140236,50.449194314841414
5459,18.19999885559082,118.1999969482422,33773.5,1951,40.74865719140236,50.449194314841414
5459,19.100000381469727,118.5999984741211,33773.75,1951,44.829838466698966,54.897903080019375
5459,20.0,119.29999542236328,33774.0,1951,48.99590745984559,59.39754447590735
5459,21.0,120.29999542236328,33774.25,1951,44.829838466698966,54.897903080019375
5459,22.0,121.5,33774.5,1951,48.99590745984559,59.39754447590735
5459,23.0,122.79999542236328,33774.75,1951,53.24278958784033,63.945673752704195
5459,24.10000038146973,125.29999542236328,33775.0,1951,57.56685117015133,68.5401107020908
5459,25.0,128.0,33775.25,1951,57.56685117015133,68.5401107020908
5459,26.0,131.0,33775.5,1951,53.24278958784033,63.945673752704195
5459,26.59999847412109,134.0,33775.75,1951,53.24278958784033,63.945673752704195
5459,27.0,136.0,33776.0,1951,53.24278958784033,63.945673752704195
5459,27.59999847412109,138.5,33776.25,1951,44.829838466698966,54.897903080019375
5459,28.19999885559082,141.09999084472656,33776.5,1951,44.829838466698966,54.897903080019375
5459,28.69999885559082,143.8000030517578,33776.75,1951,44.829838466698966,54.897903080019375
5459,27.79999923706055,146.5,33777.0,1951,44.829838466698966,54.897903080019375
5459,26.899999618530273,145.8000030517578,33777.25,1951,36.75697043235601,46.05418225941361
5459,27.0,145.1999969482422,33777.5,1951,29.063924992675314,37.43835499560519
5459,27.19999885559082,144.5,33777.75,1951,21.80389928443518,29.082339570661105
5459,27.79999923706055,143.89999389648438,33778.0,1951,18.358641431677302,25.015184859006382
5459,28.399999618530273,143.0,33778.25,1951,18.358641431677302,25.015184859006382
5459,29.0,142.3000030517578,33778.5,1951,15.052653843124096,21.031592305874458
5459,30.0,142.0,33778.75,1951,15.052653843124096,21.031592305874458
5468,11.5,136.30000305175778,33822.5,1951,15.052653843124096,21.031592305874458
5468,11.59999942779541,135.5,33822.75,1951,15.052653843124096,21.031592305874458
5468,11.800000190734865,134.69999694824222,33823.0,1951,15.052653843124096,21.031592305874458
5468,12.0,134.09999084472656,33823.25,1951,18.358641431677302,25.015184859006382
5468,12.0,133.5,33823.5,1951,18.358641431677302,25.015184859006382
5468,12.199999809265135,133.0,33823.75,1951,21.80389928443518,29.082339570661105
5468,12.399999618530273,132.5,33824.0,1951,21.80389928443518,29.082339570661105
5468,12.799999237060547,131.0,33824.25,1951,25.375734175912804,33.22544050554768
5468,13.299999237060547,129.80000305175778,33824.5,1951,25.375734175912804,33.22544050554768
5468,14.299999237060547,128.59999084472656,33824.75,1951,29.063924992675314,37.43835499560519
