month,year,oni
6,1987,1.08
6,1988,-1.18
6,1989,-0.42
6,1990,0.25
6,1991,0.55
6,1992,0.75
6,1993,0.58
6,1994,0.36
6,1995,0.0
6,1996,-0.21
6,1997,1.03
6,1998,-0.07
6,1999,-0.96
6,2000,-0.65
6,2001,-0.11
6,2002,0.61
6,2003,-0.1
6,2004,0.28
6,2005,0.16
6,2006,0.04
6,2007,-0.27
6,2008,-0.54
6,2009,0.35
6,2010,-0.44
7,1951,0.45
7,1952,0.01
7,1953,0.7
7,1954,-0.54
7,1955,-0.57
7,1956,-0.49
7,1957,1.04
7,1958,0.47
7,1959,-0.26
7,1960,-0.04
7,1961,0.1
7,1962,-0.11
7,1963,0.69
7,1964,-0.7
7,1965,1.04
7,1966,0.18
7,1967,0.0
7,1968,0.45
7,1969,0.42
7,1970,-0.6
7,1971,-0.75
7,1972,1.06
7,1973,-0.96
7,1974,-0.55
7,1975,-1.0
7,1976,0.09
7,1977,0.37
7,1978,-0.38
7,1979,0.1
7,1980,0.34
7,1981,-0.28
7,1982,0.75
7,1983,0.29
7,1984,-0.26
7,1985,-0.43
7,1986,0.19
7,1987,1.36
7,1988,-1.24
7,1989,-0.32
7,1990,0.29
7,1991,0.69
7,1992,0.46
7,1993,0.31
7,1994,0.38
7,1995,-0.17
7,1996,-0.19
7,1997,1.42
7,1998,-0.67
7,1999,-1.02
7,2000,-0.59
7,2001,-0.08
7,2002,0.75
7,2003,0.08
7,2004,0.45
7,2005,0.02
7,2006,0.14
7,2007,-0.38
7,2008,-0.37
7,2009,0.46
7,2010,-0.85
8,1951,0.73
8,1952,0.06
8,1953,0.7
8,1954,-0.69
8,1955,-0.61
8,1956,-0.47
8,1957,1.15
8,1958,0.35
8,1959,-0.29
8,1960,0.1
8,1961,-0.14
8,1962,-0.15
8,1963,0.99
8,1964,-0.73
8,1965,1.34
8,1966,0.07
8,1967,-0.21
8,1968,0.4
8,1969,0.52
8,1970,-0.75
8,1971,-0.71
8,1972,1.3
8,1973,-1.16
8,1974,-0.36
8,1975,-1.1
8,1976,0.26
8,1977,0.38
8,1978,-0.44
8,1979,0.23
8,1980,0.16
8,1981,-0.26
8,1982,1.02
8,1983,-0.04
8,1984,-0.16
8,1985,-0.39
8,1986,0.4
8,1987,1.56
8,1988,-1.11
8,1989,-0.27
8,1990,0.34
8,1991,0.66
8,1992,0.19
8,1993,0.22
8,1994,0.35
8,1995,-0.45
8,1996,-0.25
8,1997,1.72
8,1998,-1.0
8,1999,-1.01
8,2000,-0.54
8,2001,-0.12
8,2002,0.81
8,2003,0.17
8,2004,0.63
8,2005,-0.06
8,2006,0.28
8,2007,-0.63
8,2008,-0.29
8,2009,0.52
8,2010,-1.18
9,1951,0.79
9,1952,0.15
9,1953,0.76
9,1954,-0.72
9,1955,-0.96
9,1956,-0.44
9,1957,1.14
9,1958,0.4
9,1959,-0.13
9,1960,0.16
9,1961,-0.31
9,1962,-0.17
9,1963,1.11
9,1964,-0.76
9,1965,1.63
9,1966,-0.02
9,1967,-0.33
9,1968,0.32
9,1969,0.76
9,1970,-0.83
9,1971,-0.75
9,1972,1.53
9,1973,-1.36
9,1974,-0.38
9,1975,-1.29
9,1976,0.53
9,1977,0.47
9,1978,-0.43
9,1979,0.34
9,1980,0.02
9,1981,-0.18
9,1982,1.49
9,1983,-0.32
9,1984,-0.25
9,1985,-0.36
9,1986,0.66
9,1987,1.57
9,1988,-1.2
9,1989,-0.26
9,1990,0.36
9,1991,0.67
9,1992,-0.03
9,1993,0.17
9,1994,0.43
9,1995,-0.72
9,1996,-0.3
9,1997,1.98
9,1998,-1.18
9,1999,-1.07
9,2000,-0.6
9,2001,-0.19
9,2002,0.94
9,2003,0.22
9,2004,0.68
9,2005,-0.04
9,2006,0.47
9,2007,-0.89
9,2008,-0.3
9,2009,0.64
9,2010,-1.38
10,1951,0.86
10,1952,0.17
10,1953,0.77
10,1954,-0.61
10,1955,-1.37
10,1956,-0.44
10,1957,1.2
10,1958,0.5
10,1959,-0.11
10,1960,0.08
10,1961,-0.31
10,1962,-0.29
10,1963,1.15
10,1964,-0.8
10,1965,1.74
10,1966,-0.05
10,1967,-0.4
10,1968,0.42
10,1969,0.81
10,1970,-0.82
10,1971,-0.77
10,1972,1.75
10,1973,-1.66
10,1974,-0.56
10,1975,-1.37
10,1976,0.72
10,1977,0.64
10,1978,-0.3
10,1979,0.47
10,1980,0.05
10,1981,-0.14
10,1982,1.86
10,1983,-0.63
10,1984,-0.55
10,1985,-0.3
10,1986,0.85
10,1987,1.43
10,1988,-1.44
10,1989,-0.26
10,1990,0.33
10,1991,0.8
10,1992,-0.13
10,1993,0.17
10,1994,0.62
10,1995,-0.91
10,1996,-0.36
10,1997,2.18
10,1998,-1.2
10,1999,-1.18
10,2000,-0.68
10,2001,-0.27
10,2002,1.09
10,2003,0.28
10,2004,0.66
10,2005,-0.23
10,2006,0.69
10,2007,-1.13
10,2008,-0.38
10,2009,0.88
10,2010,-1.45
11,1951,0.74
11,1952,0.19
11,1953,0.76
11,1954,-0.54
11,1955,-1.64
11,1956,-0.46
11,1957,1.34
11,1958,0.57
11,1959,-0.05
11,1960,0.01
11,1961,-0.22
11,1962,-0.33
11,1963,1.21
11,1964,-0.81
11,1965,1.76
11,1966,-0.14
11,1967,-0.39
11,1968,0.58
11,1969,0.79
11,1970,-0.93
11,1971,-0.87
11,1972,1.95
11,1973,-1.86
11,1974,-0.7
11,1975,-1.49
11,1976,0.81
11,1977,0.75
11,1978,-0.13
11,1979,0.51
11,1980,0.13
11,1981,-0.13
11,1982,2.09
11,1983,-0.8
11,1984,-0.88
11,1985,-0.23
11,1986,0.99
11,1987,1.22
11,1988,-1.72
11,1989,-0.19
11,1990,0.36
11,1991,1.15
11,1992,-0.13
11,1993,0.12
11,1994,0.92
11,1995,-0.97
11,1996,-0.43
11,1997,2.26
11,1998,-1.33
11,1999,-1.38
11,2000,-0.78
11,2001,-0.36
11,2002,1.19
11,2003,0.33
11,2004,0.64
11,2005,-0.48
11,2006,0.85
11,2007,-1.25
11,2008,-0.55
11,2009,1.14
11,2010,-1.43
12,1951,0.6
12,1952,0.3
12,1953,0.69
12,1954,-0.49
12,1955,-1.36
12,1956,-0.44
12,1957,1.57
12,1958,0.61
12,1959,-0.1
12,1960,0.0
12,1961,-0.15
12,1962,-0.42
12,1963,1.14
12,1964,-0.75
12,1965,1.54
12,1966,-0.26
12,1967,-0.5
12,1968,0.81
12,1969,0.66
12,1970,-1.16
12,1971,-0.82
12,1972,1.91
12,1973,-1.92
12,1974,-0.6
12,1975,-1.57
12,1976,0.8
12,1977,0.76
12,1978,-0.03
12,1979,0.61
12,1980,0.03
12,1981,-0.04
12,1982,2.12
12,1983,-0.75
12,1984,-1.05
12,1985,-0.29
12,1986,1.07
12,1987,1.05
12,1988,-1.75
12,1989,-0.08
12,1990,0.36
12,1991,1.42
12,1992,-0.01
12,1993,0.11
12,1994,1.04
12,1995,-0.94
12,1996,-0.49
12,1997,2.25
12,1998,-1.43
12,1999,-1.57
12,2000,-0.74
12,2001,-0.31
12,2002,1.1
12,2003,0.33
12,2004,0.68
12,2005,-0.68
12,2006,0.92
12,2007,-1.33
12,2008,-0.7
12,2009,1.31
12,2010,-1.4
