month,year,nino4_temp,nino4_anom,TIME
3,1966,29.07,0.75,1966-03-01
3,1967,27.86,-0.46,1967-03-01
3,1968,27.94,-0.38,1968-03-01
3,1969,28.86,0.54,1969-03-01
3,1970,28.46,0.14,1970-03-01
3,1971,27.24,-1.08,1971-03-01
3,1972,28.22,-0.1,1972-03-01
3,1973,28.49,0.17,1973-03-01
3,1974,27.25,-1.07,1974-03-01
3,1975,27.74,-0.58,1975-03-01
3,1976,27.55,-0.77,1976-03-01
3,1977,28.22,-0.1,1977-03-01
3,1978,28.19,-0.13,1978-03-01
3,1979,28.27,-0.05,1979-03-01
3,1980,28.49,0.17,1980-03-01
3,1981,28.09,-0.23,1981-03-01
3,1982,28.44,0.12,1982-03-01
3,1983,28.58,0.26,1983-03-01
3,1984,27.67,-0.65,1984-03-01
3,1985,27.58,-0.74,1985-03-01
3,1986,28.19,-0.13,1986-03-01
3,1987,28.85,0.53,1987-03-01
3,1988,28.51,0.19,1988-03-01
3,1989,27.35,-0.97,1989-03-01
3,1990,28.68,0.36,1990-03-01
3,1991,28.72,0.4,1991-03-01
3,1992,28.95,0.63,1992-03-01
3,1993,28.49,0.18,1993-03-01
3,1994,28.52,0.2,1994-03-01
3,1995,29.07,0.75,1995-03-01
3,1996,28.04,-0.28,1996-03-01
3,1997,28.64,0.32,1997-03-01
3,1998,28.65,0.33,1998-03-01
3,1999,27.3,-1.02,1999-03-01
3,2000,27.08,-1.24,2000-03-01
3,2001,27.82,-0.5,2001-03-01
3,2002,28.7,0.38,2002-03-01
3,2003,28.96,0.64,2003-03-01
3,2004,28.57,0.25,2004-03-01
3,2005,29.0,0.68,2005-03-01
3,2006,27.89,-0.43,2006-03-01
3,2007,28.81,0.49,2007-03-01
3,2008,27.3,-1.02,2008-03-01
3,2009,27.98,-0.34,2009-03-01
3,2010,29.14,0.82,2010-03-01
4,1951,28.43,-0.15,1951-04-01
4,1952,28.58,-0.01,1952-04-01
4,1953,28.51,-0.07,1953-04-01
4,1954,28.19,-0.4,1954-04-01
4,1955,27.79,-0.79,1955-04-01
4,1956,27.73,-0.85,1956-04-01
4,1957,28.65,0.07,1957-04-01
4,1958,29.04,0.46,1958-04-01
4,1959,28.72,0.13,1959-04-01
4,1960,28.08,-0.5,1960-04-01
4,1961,28.03,-0.56,1961-04-01
4,1962,28.21,-0.37,1962-04-01
4,1963,28.34,-0.25,1963-04-01
4,1964,28.28,-0.31,1964-04-01
4,1965,28.0,-0.58,1965-04-01
4,1966,28.8,0.21,1966-04-01
4,1967,28.36,-0.23,1967-04-01
4,1968,28.22,-0.37,1968-04-01
4,1969,28.92,0.33,1969-04-01
4,1970,28.72,0.14,1970-04-01
4,1971,27.56,-1.03,1971-04-01
4,1972,28.76,0.17,1972-04-01
4,1973,28.45,-0.13,1973-04-01
4,1974,27.46,-1.13,1974-04-01
4,1975,27.88,-0.71,1975-04-01
4,1976,28.06,-0.53,1976-04-01
4,1977,28.59,0.0,1977-04-01
4,1978,28.15,-0.43,1978-04-01
4,1979,28.51,-0.07,1979-04-01
4,1980,28.78,0.2,1980-04-01
4,1981,28.2,-0.38,1981-04-01
4,1982,28.95,0.36,1982-04-01
4,1983,28.72,0.13,1983-04-01
4,1984,27.9,-0.68,1984-04-01
4,1985,27.81,-0.78,1985-04-01
4,1986,28.34,-0.24,1986-04-01
4,1987,28.98,0.39,1987-04-01
4,1988,28.44,-0.15,1988-04-01
4,1989,27.83,-0.75,1989-04-01
4,1990,28.79,0.2,1990-04-01
4,1991,29.04,0.45,1991-04-01
4,1992,29.14,0.56,1992-04-01
4,1993,28.79,0.21,1993-04-01
4,1994,28.84,0.25,1994-04-01
4,1995,29.13,0.55,1995-04-01
4,1996,28.26,-0.32,1996-04-01
4,1997,29.31,0.73,1997-04-01
4,1998,28.59,0.0,1998-04-01
4,1999,27.76,-0.82,1999-04-01
4,2000,27.52,-1.06,2000-04-01
4,2001,28.25,-0.33,2001-04-01
4,2002,29.14,0.56,2002-04-01
4,2003,29.06,0.48,2003-04-01
4,2004,28.76,0.18,2004-04-01
4,2005,29.07,0.49,2005-04-01
4,2006,28.42,-0.16,2006-04-01
4,2007,28.88,0.29,2007-04-01
4,2008,27.76,-0.83,2008-04-01
4,2009,28.56,-0.03,2009-04-01
4,2010,29.29,0.71,2010-04-01
5,1951,29.09,0.2,1951-05-01
5,1952,28.76,-0.13,1952-05-01
5,1953,28.91,0.02,1953-05-01
5,1954,28.43,-0.45,1954-05-01
5,1955,28.22,-0.67,1955-05-01
5,1956,28.01,-0.88,1956-05-01
5,1957,29.05,0.16,1957-05-01
5,1958,29.16,0.27,1958-05-01
5,1959,28.79,-0.1,1959-05-01
5,1960,28.51,-0.37,1960-05-01
5,1961,28.39,-0.5,1961-05-01
5,1962,28.31,-0.57,1962-05-01
5,1963,28.53,-0.35,1963-05-01
5,1964,28.48,-0.4,1964-05-01
5,1965,28.66,-0.23,1965-05-01
5,1966,28.97,0.09,1966-05-01
5,1967,28.67,-0.22,1967-05-01
5,1968,28.34,-0.54,1968-05-01
5,1969,29.06,0.17,1969-05-01
5,1970,28.93,0.04,1970-05-01
5,1971,27.89,-1.0,1971-05-01
5,1972,29.15,0.27,1972-05-01
5,1973,28.44,-0.44,1973-05-01
5,1974,27.77,-1.11,1974-05-01
5,1975,28.08,-0.8,1975-05-01
5,1976,28.32,-0.56,1976-05-01
5,1977,28.76,-0.13,1977-05-01
5,1978,28.68,-0.2,1978-05-01
5,1979,28.76,-0.13,1979-05-01
5,1980,29.16,0.28,1980-05-01
5,1981,28.43,-0.45,1981-05-01
5,1982,29.3,0.41,1982-05-01
5,1983,29.09,0.21,1983-05-01
5,1984,28.25,-0.64,1984-05-01
5,1985,28.09,-0.79,1985-05-01
5,1986,28.73,-0.15,1986-05-01
5,1987,29.3,0.41,1987-05-01
5,1988,28.4,-0.48,1988-05-01
5,1989,28.36,-0.53,1989-05-01
5,1990,28.95,0.07,1990-05-01
5,1991,29.42,0.53,1991-05-01
5,1992,29.34,0.45,1992-05-01
5,1993,29.08,0.19,1993-05-01
5,1994,29.17,0.29,1994-05-01
5,1995,29.36,0.48,1995-05-01
5,1996,28.62,-0.27,1996-05-01
5,1997,29.51,0.62,1997-05-01
5,1998,28.9,0.01,1998-05-01
5,1999,28.2,-0.69,1999-05-01
5,2000,27.99,-0.89,2000-05-01
5,2001,28.7,-0.18,2001-05-01
5,2002,29.61,0.73,2002-05-01
5,2003,29.04,0.15,2003-05-01
5,2004,29.14,0.26,2004-05-01
5,2005,29.25,0.36,2005-05-01
5,2006,28.96,0.07,2006-05-01
5,2007,29.04,0.15,2007-05-01
5,2008,28.09,-0.79,2008-05-01
5,2009,29.01,0.12,2009-05-01
5,2010,29.23,0.34,2010-05-01
6,1951,29.04,0.14,1951-06-01
6,1952,28.55,-0.34,1952-06-01
6,1953,29.13,0.24,1953-06-01
6,1954,28.37,-0.53,1954-06-01
6,1955,28.29,-0.6,1955-06-01
6,1956,28.14,-0.75,1956-06-01
6,1957,28.7,-0.2,1957-06-01
6,1958,29.12,0.22,1958-06-01
6,1959,28.47,-0.42,1959-06-01
6,1960,28.39,-0.51,1960-06-01
6,1961,28.71,-0.19,1961-06-01
6,1962,28.45,-0.45,1962-06-01
6,1963,28.44,-0.46,1963-06-01
6,1964,28.21,-0.69,1964-06-01
6,1965,28.98,0.09,1965-06-01
6,1966,29.05,0.15,1966-06-01
6,1967,28.58,-0.31,1967-06-01
6,1968,28.81,-0.08,1968-06-01
6,1969,28.92,0.02,1969-06-01
6,1970,28.82,-0.07,1970-06-01
6,1971,28.01,-0.88,1971-06-01
6,1972,29.13,0.23,1972-06-01
6,1973,28.27,-0.63,1973-06-01
6,1974,27.89,-1.01,1974-06-01
