month,year,nino4_temp,nino4_anom,TIME
12,1968,29.0,0.42,1968-12-01
12,1969,28.81,0.23,1969-12-01
12,1970,27.22,-1.36,1970-12-01
12,1971,27.97,-0.61,1971-12-01
12,1972,29.22,0.65,1972-12-01
12,1973,26.71,-1.86,1973-12-01
12,1974,27.58,-0.99,1974-12-01
12,1975,26.83,-1.74,1975-12-01
12,1976,28.44,-0.14,1976-12-01
12,1977,29.0,0.42,1977-12-01
12,1978,28.42,-0.15,1978-12-01
12,1979,28.75,0.17,1979-12-01
12,1980,28.51,-0.07,1980-12-01
12,1981,28.46,-0.12,1981-12-01
12,1982,29.09,0.52,1982-12-01
12,1983,27.88,-0.69,1983-12-01
12,1984,27.82,-0.75,1984-12-01
12,1985,28.48,-0.09,1985-12-01
12,1986,28.97,0.39,1986-12-01
12,1987,29.37,0.8,1987-12-01
12,1988,27.06,-1.52,1988-12-01
12,1989,28.55,-0.03,1989-12-01
12,1990,29.12,0.55,1990-12-01
12,1991,29.33,0.76,1991-12-01
12,1992,28.81,0.24,1992-12-01
12,1993,28.82,0.25,1993-12-01
12,1994,29.51,0.93,1994-12-01
12,1995,28.17,-0.41,1995-12-01
12,1996,28.54,-0.04,1996-12-01
12,1997,29.23,0.66,1997-12-01
12,1998,27.24,-1.34,1998-12-01
12,1999,27.43,-1.15,1999-12-01
12,2000,27.8,-0.78,2000-12-01
12,2001,28.71,0.13,2001-12-01
12,2002,29.47,0.89,2002-12-01
12,2003,29.1,0.53,2003-12-01
12,2004,29.51,0.93,2004-12-01
12,2005,28.36,-0.22,2005-12-01
12,2006,29.46,0.89,2006-12-01
12,2007,27.81,-0.77,2007-12-01
12,2008,27.96,-0.62,2008-12-01
12,2009,29.72,1.15,2009-12-01
12,2010,27.47,-1.1,2010-12-01
