time,wind
1951-01-01,19.183438268191775
1951-02-01,18.91427640994219
1951-03-01,24.075934253730807
1951-04-01,15.12799772585367
1951-05-01,8.552913615412862
1951-06-01,5.488822196596563
1951-07-01,5.442465412119946
1951-08-01,10.210142324074384
1951-09-01,4.816964371172751
1951-10-01,6.219153957325104
1951-11-01,13.033050167179072
1951-12-01,15.407902847917367
1952-01-01,20.130122517020485
1952-02-01,18.3202315561181
1952-03-01,20.020990734693104
1952-04-01,17.24251733739938
1952-05-01,8.635122726900265
1952-06-01,7.206167950044447
1952-07-01,10.979487192393682
1952-08-01,9.654706891167573
1952-09-01,5.874818073309579
1952-10-01,7.267072418661097
1952-11-01,8.053241617735171
1952-12-01,15.594553237048613
1953-01-01,19.258893658020124
1953-02-01,19.15260721281623
1953-03-01,20.179856044583435
1953-04-01,15.700173754869779
1953-05-01,8.004030177550044
1953-06-01,6.909973013493674
1953-07-01,9.471627385312242
1953-08-01,11.514762185804091
1953-09-01,7.585746917871345
1953-10-01,6.109223681955778
1953-11-01,8.857228435457785
1953-12-01,13.692605404651223
1954-01-01,17.46604652252901
1954-02-01,24.586554581188267
1954-03-01,20.66804829246363
1954-04-01,15.267117503810885
1954-05-01,8.316734092016258
1954-06-01,7.3962501444489295
1954-07-01,7.695578128723207
1954-08-01,10.783013552302798
1954-09-01,11.304676904738946
1954-10-01,6.938670896378871
1954-11-01,10.11490817900345
1954-12-01,15.287535687691506
1955-01-01,19.912896832965448
1955-02-01,16.878544484440916
1955-03-01,20.666370236136544
1955-04-01,15.245431433946148
1955-05-01,10.687204910050237
1955-06-01,6.341230653525514
1955-07-01,8.133766174312708
1955-08-01,6.670089282848887
1955-09-01,7.429285988102556
1955-10-01,6.688362397724637
1955-11-01,13.965325735318762
1955-12-01,16.705582731220034
1956-01-01,20.563157661500842
1956-02-01,24.29158465493476
1956-03-01,23.24836575797665
1956-04-01,15.672398555870204
1956-05-01,8.242284013778411
1956-06-01,5.842887043481461
1956-07-01,9.574514835259476
1956-08-01,7.736958746498827
1956-09-01,8.492247687353197
1956-10-01,6.229667642015655
1956-11-01,10.257028651585463
1956-12-01,18.01783410924444
1957-01-01,20.781910552467917
1957-02-01,21.03989567197222
1957-03-01,23.84222246372544
1957-04-01,16.356547524768743
1957-05-01,8.820923587211118
1957-06-01,6.814931997942119
1957-07-01,7.942010492980573
1957-08-01,8.839809376287253
1957-09-01,8.053470201159316
1957-10-01,7.761251337487597
1957-11-01,11.235487008004938
1957-12-01,22.857361977319155
1958-01-01,25.88144387647895
1958-02-01,24.507247044207315
1958-03-01,22.024940402608348
1958-04-01,19.30062325739797
1958-05-01,10.497540246363643
1958-06-01,7.9433378689568315
1958-07-01,9.125570177696021
1958-08-01,4.341149776140084
1958-09-01,7.710266981171021
1958-10-01,7.847898885144766
1958-11-01,11.381423385183115
1958-12-01,20.528771070040406
1959-01-01,24.89988026570444
1959-02-01,23.266254849452853
1959-03-01,20.57671517718587
1959-04-01,17.18663729787176
1959-05-01,11.782932153616885
1959-06-01,6.097671012152358
1959-07-01,7.435643254606257
1959-08-01,11.701314965093198
1959-09-01,8.359828450660155
1959-10-01,5.9237624215406255
1959-11-01,8.389488455000386
1959-12-01,17.450694404697156
1960-01-01,20.364406167806557
1960-02-01,21.013603106727412
1960-03-01,20.59307485400021
1960-04-01,17.37216743555203
1960-05-01,10.277471299900482
1960-06-01,8.110191654088545
1960-07-01,6.565237385644109
1960-08-01,13.345439305434263
1960-09-01,5.348212210401658
1960-10-01,9.058093258117347
1960-11-01,13.239037320674925
1960-12-01,18.338394371584027
1961-01-01,20.907731965217614
1961-02-01,19.89952475925732
1961-03-01,19.9208041405805
1961-04-01,18.871232600964483
1961-05-01,10.194753437655127
1961-06-01,7.537179143924093
1961-07-01,11.147830009971146
1961-08-01,10.976166125447062
1961-09-01,11.051296648573205
1961-10-01,7.292935940076195
1961-11-01,11.233715739679248
1961-12-01,19.209017564433523
1962-01-01,22.088352270802233
1962-02-01,21.247873551561312
1962-03-01,22.87704537632669
1962-04-01,18.65777995110166
1962-05-01,9.828446363349984
1962-06-01,8.609089647220776
1962-07-01,9.478811503173198
1962-08-01,8.251908355937262
1962-09-01,5.770801645270529
1962-10-01,8.271011732092555
1962-11-01,10.859383635718604
1962-12-01,18.013725783987045
1963-01-01,25.058334711416876
1963-02-01,27.083755953250254
1963-03-01,23.791491775676544
1963-04-01,19.557266392483605
1963-05-01,11.219558409252324
1963-06-01,7.871593501286721
1963-07-01,7.584357875334852
1963-08-01,8.260712862367855
1963-09-01,9.848193818852522
1963-10-01,10.347200577865248
1963-11-01,14.045380587018133
1963-12-01,16.864964199652448
1964-01-01,22.905543820968738
1964-02-01,23.157934470020948
1964-03-01,22.4067401945948
1964-04-01,19.3329648912539
1964-05-01,10.51621956245029
1964-06-01,7.139589668830634
1964-07-01,8.056716729505686
1964-08-01,12.017768435221273
1964-09-01,7.220610485558343
1964-10-01,7.6636505571876725
1964-11-01,11.219261183695316
1964-12-01,18.344902326382876
1965-01-01,21.400400710635573
1965-02-01,20.426548007962076
1965-03-01,21.813132091728427
1965-04-01,15.115261891360435
1965-05-01,10.003322680070921
1965-06-01,8.322215253962863
1965-07-01,10.387881531241792
1965-08-01,7.547712185017845
1965-09-01,8.903872848532334
1965-10-01,8.925065215480183
1965-11-01,12.61709239661629
1965-12-01,15.714170322064877
1966-01-01,22.17470570021157
1966-02-01,20.464459112765848
1966-03-01,17.196057679230073
1966-04-01,15.455915920563399
1966-05-01,10.385938136944933
1966-06-01,7.050022965763741
