"time","wpsh","yr","ix",
730638,-0.050784,,,
730668,-1.5357,,,
730699,-1.54,,,
730730,-1.3359,,,
730760,-0.0013916,,,
730791,0.64789,,,
730821,0.37982,,,
730852,0.25233,,,
730883,0.10787,,,
730911,0.07858,,,
730942,0.11774,,,
730972,-0.46218,,,
731003,-0.58521,,,
731033,-1.539,,,
731064,-2.7157,,,
731095,-1.3233,,,
731125,0.042565,,,
731156,0.29551,,,
731186,1.6953,,,
731217,1.0521,,,
731248,1.1165,,,
731276,0.72595,,,
731307,0.28537,,,
731337,-0.47442,,,
731368,-0.35188,,,
731398,-2.2516,,,
731429,-1.7566,,,
731460,-0.90758,,,
731490,0.0023946,,,
731521,0.82617,,,
731551,1.558,,,
731582,1.1192,,,
731613,0.81437,,,
731641,0.72422,,,
731672,0.55801,,,
731702,-0.79961,,,
731733,-0.25745,,,
731763,-0.017642,,,
731794,-0.869,,,
731825,-0.83925,,,
731855,-0.39415,,,
731886,0.57967,,,
731916,0.93685,,,
731947,0.85978,,,
731978,0.63508,,,
732007,0.263,,,
732038,-0.088594,,,
732068,0.069904,,,
732099,-1.7747,,,
732129,-0.46829,,,
732160,-2.8174,,,
732191,-0.13153,,,
732221,-0.52165,,,
732252,0.96556,,,
732282,0.62351,,,
732313,0.1998,,,
732344,1.4008,,,
732372,1.2776,,,
732403,0.78786,,,
732433,-0.41638,,,
732464,-0.3871,,,
732494,-0.74429,,,
732525,-1.2642,,,
732556,-0.81504,,,
732586,0.19904,,,
732617,0.6085,,,
732647,0.95727,,,
732678,0.58092,,,
732709,1.5427,,,
732737,0.14757,,,
732768,0.14881,,,
732798,0.3802,,,
732829,0.017187,,,
732859,-1.012,,,
732890,-2.0905,,,
732921,-0.79421,,,
732951,-0.65024,,,
732982,0.92709,,,
733012,1.3524,,,
733043,1.6697,,,
733074,0.6858,,,
733102,0.31279,,,
733133,0.57191,,,
733163,-0.089728,,,
733194,-0.5573,,,
733224,-0.83018,,,
733255,-1.306,,,
733286,-1.5235,,,
733316,-0.3127,,,
733347,-0.39098,,,
733377,0.59041,,,
733408,0.96394,,,
733439,0.36172,,,
733468,0.10136,,,
733499,0.12703,,,
733529,-0.99525,,,
733560,-0.080921,,,
733590,-1.2065,,,
733621,-0.9136,,,
733652,-0.65292,,,
733682,0.89274,,,
733713,1.0962,,,
733743,0.4409,,,
733774,0.77861,,,
733805,0.48034,,,
733833,0.33699,,,
733864,-0.074226,,,
733894,-0.69091,,,
733925,-0.83412,,,
733955,-1.2166,,,
733986,-2.2094,,,
734017,-1.9546,,,
734047,-0.61055,,,
734078,0.29089,,,
734108,0.35393,,,
734139,1.3076,,,
734170,1.2127,,,
734198,1.3893,,,
734229,1.3471,,,
734259,-0.26021,,,
734290,0.14818,,,
734320,0.50141,,,
734351,-0.2951,,,
734382,0.065809,,,
734412,-0.35743,,,
734443,0.55965,,,
734473,-1.0126,,,
734504,0.0040873,,,
734535,-0.36827,,,
734563,0.27735,,,
734594,-0.18759,,,
734624,-0.0125,,,
734655,-0.10245,,,
734685,-1.6456,,,
734716,-1.8206,,,
734747,-1.4717,,,
734777,0.36291,,,
734808,0.80188,,,
734838,0.81654,,,
734869,0.3487,,,
734900,0.34515,,,
734929,0.3853,,,
734960,0.39377,,,
734990,-1.0213,,,
735021,-1.2523,,,
735051,-1.5368,,,
735082,-2.121,,,
735113,-0.88826,,,
735143,-0.83521,,,
735174,0.73002,,,
735204,0.62916,,,
735235,0.82584,,,
735266,1.2497,,,
735294,0.82405,,,
735325,0.021729,,,
735355,-0.18531,,,
735386,-0.6064,,,
735416,-0.50992,,,
735447,-0.87233,,,
735478,-1.8747,,,
735508,-1.4405,,,
735539,1.0665,,,
735569,0.36394,,,
735600,0.37101,,,
735631,-0.20201,,,
735659,0.73035,,,
735690,-0.011962,,,
735720,0.34136,,,
735751,-1.1465,,,
735781,-1.1823,,,
735812,-0.55916,,,
735843,-0.87944,,,
735873,-0.39227,,,
735904,0.62337,,,
735934,1.1781,,,
735965,0.78761,,,
735996,0.67455,,,
736024,1.3256,,,
736055,0.87129,,,
736085,0.26713,,,
736116,0.27452,,,
736146,-1.3109,,,
736177,-1.5923,,,
736208,-0.83989,,,
736238,-0.14846,,,
736269,1.6918,,,
736299,2.0667,,,
736330,1.93,,,
736361,2.0098,,,
736390,1.285,,,
736421,1.1635,,,
736451,0.6498,,,
736482,0.61446,,,
736512,-0.22813,,,
736543,-2.9669,,,
736574,-0.68748,,,
736604,0.0051762,,,
736635,0.56797,,,
736665,1.2437,,,

