month,year,nino3
6,1961,26.42
6,1962,25.84
6,1963,26.66
6,1964,25.19
6,1965,27.12
6,1966,26.01
6,1967,26.4
6,1968,26.36
6,1969,26.96
6,1970,25.4
6,1971,25.49
6,1972,27.16
6,1973,25.48
6,1974,25.88
6,1975,25.37
6,1976,26.83
6,1977,26.53
6,1978,25.77
6,1979,26.63
6,1980,26.83
6,1981,26.32
6,1982,27.23
6,1983,28.13
6,1984,25.65
6,1985,25.78
6,1986,26.25
6,1987,27.52
6,1988,24.89
6,1989,26.4
6,1990,26.67
6,1991,27.28
6,1992,27.29
6,1993,27.12
6,1994,26.62
6,1995,26.36
6,1996,26.05
6,1997,28.02
6,1998,27.11
6,1999,25.81
6,2000,26.06
6,2001,26.5
6,2002,27.27
6,2003,26.3
6,2004,26.54
6,2005,26.89
6,2006,26.73
6,2007,26.11
6,2008,26.51
6,2009,27.23
6,2010,26.22
7,1951,26.56
7,1952,25.23
7,1953,25.96
7,1954,24.66
7,1955,24.76
7,1956,25.1
7,1957,27.0
7,1958,25.75
7,1959,24.99
7,1960,25.36
7,1961,25.05
7,1962,25.17
7,1963,26.28
7,1964,24.75
7,1965,26.48
7,1966,25.37
7,1967,25.28
7,1968,25.96
7,1969,25.84
7,1970,24.04
7,1971,24.81
7,1972,26.97
7,1973,24.35
7,1974,25.32
7,1975,24.76
7,1976,26.15
7,1977,25.59
7,1978,25.07
7,1979,25.66
7,1980,25.71
7,1981,25.37
7,1982,26.29
7,1983,26.76
7,1984,25.19
7,1985,24.91
7,1986,25.73
7,1987,26.98
7,1988,24.03
7,1989,25.44
7,1990,25.9
7,1991,26.66
7,1992,25.91
7,1993,26.08
7,1994,25.65
7,1995,25.5
7,1996,25.39
7,1997,27.74
7,1998,25.71
7,1999,25.11
7,2000,25.23
7,2001,25.69
7,2002,26.35
7,2003,26.05
7,2004,25.98
7,2005,26.03
7,2006,25.87
7,2007,25.21
7,2008,26.04
7,2009,26.52
7,2010,25.12
8,1951,25.86
8,1952,24.63
8,1953,25.26
8,1954,23.86
8,1955,23.99
8,1956,24.36
8,1957,26.18
8,1958,25.09
8,1959,24.42
8,1960,24.98
8,1961,24.27
8,1962,24.73
8,1963,25.7
8,1964,23.7
8,1965,26.09
8,1966,24.52
8,1967,24.31
8,1968,25.26
8,1969,25.45
8,1970,23.46
8,1971,24.01
8,1972,26.71
8,1973,23.72
8,1974,24.87
8,1975,24.17
8,1976,25.8
8,1977,24.76
8,1978,24.25
8,1979,25.3
8,1980,24.98
8,1981,24.57
8,1982,26.08
8,1983,26.0
8,1984,24.84
8,1985,24.38
8,1986,25.29
8,1987,26.62
8,1988,23.8
8,1989,24.84
8,1990,25.3
8,1991,25.82
8,1992,25.22
8,1993,25.36
8,1994,25.03
8,1995,24.46
8,1996,24.89
8,1997,27.59
8,1998,24.76
8,1999,24.44
8,2000,24.68
8,2001,24.99
8,2002,25.76
8,2003,25.46
8,2004,25.47
8,2005,25.42
8,2006,25.62
8,2007,24.31
8,2008,25.61
8,2009,26.0
8,2010,24.34
9,1951,25.73
9,1952,24.46
9,1953,25.37
9,1954,23.56
9,1955,23.55
9,1956,24.15
9,1957,25.67
9,1958,24.71
9,1959,24.31
9,1960,24.72
9,1961,23.74
9,1962,24.2
9,1963,25.42
9,1964,23.93
9,1965,25.92
9,1966,24.21
9,1967,23.72
9,1968,24.96
9,1969,25.43
9,1970,23.75
9,1971,24.04
9,1972,26.34
9,1973,23.52
9,1974,24.46
9,1975,23.72
9,1976,25.64
9,1977,24.89
9,1978,24.3
9,1979,25.6
9,1980,24.88
9,1981,24.79
9,1982,26.71
9,1983,25.3
9,1984,24.68
9,1985,24.2
9,1986,25.26
9,1987,26.61
9,1988,24.01
9,1989,24.76
9,1990,25.16
9,1991,25.36
9,1992,24.99
9,1993,25.25
9,1994,24.97
9,1995,24.11
9,1996,24.62
9,1997,27.65
9,1998,24.24
9,1999,24.07
9,2000,24.64
9,2001,24.51
9,2002,25.82
9,2003,25.16
9,2004,25.41
9,2005,24.96
9,2006,25.85
9,2007,24.01
9,2008,25.34
9,2009,25.77
9,2010,24.02
10,1951,25.73
10,1952,24.58
10,1953,25.24
10,1954,23.73
10,1955,22.83
10,1956,24.07
10,1957,25.67
10,1958,24.8
10,1959,24.59
10,1960,24.28
10,1961,23.88
10,1962,24.27
10,1963,25.5
10,1964,23.94
10,1965,26.13
10,1966,24.41
10,1967,23.81
10,1968,25.05
10,1969,25.61
10,1970,23.72
10,1971,23.77
10,1972,26.73
10,1973,23.4
10,1974,24.16
10,1975,23.55
10,1976,25.88
10,1977,25.24
10,1978,24.64
10,1979,25.5
10,1980,24.69
10,1981,24.9
10,1982,27.21
10,1983,24.73
10,1984,24.43
10,1985,24.34
10,1986,25.51
10,1987,26.26
10,1988,23.63
10,1989,24.69
10,1990,24.99
10,1991,25.69
10,1992,24.88
10,1993,25.28
10,1994,25.54
10,1995,24.22
10,1996,24.58
10,1997,28.01
10,1998,24.36
10,1999,23.89
10,2000,24.62
10,2001,24.64
10,2002,25.98
10,2003,25.46
10,2004,25.57
10,2005,24.87
10,2006,26.05
10,2007,24.0
10,2008,25.29
10,2009,25.84
10,2010,24.03
11,1951,25.99
11,1952,24.35
11,1953,25.2
11,1954,24.04
11,1955,22.98
11,1956,24.02
11,1957,26.18
11,1958,25.16
11,1959,24.59
11,1960,24.39
11,1961,24.43
11,1962,24.13
11,1963,25.67
11,1964,24.05
11,1965,26.31
11,1966,24.32
11,1967,23.97
11,1968,25.25
11,1969,25.71
