month,year,nino12
1,1951,24.19
1,1952,24.4
1,1953,24.29
1,1954,22.72
1,1955,23.79
1,1956,23.54
1,1957,22.79
1,1958,24.62
1,1959,23.83
1,1960,24.4
1,1961,24.59
1,1962,24.22
1,1963,23.98
1,1964,23.94
1,1965,23.89
1,1966,25.0
1,1967,23.78
1,1968,23.19
1,1969,24.58
1,1970,24.97
1,1971,23.38
1,1972,24.26
1,1973,25.74
1,1974,23.56
1,1975,23.55
1,1976,23.53
1,1977,24.92
1,1978,24.45
1,1979,24.97
1,1980,24.57
1,1981,23.28
1,1982,24.62
1,1983,27.2
1,1984,24.4
1,1985,23.95
1,1986,24.61
1,1987,25.66
1,1988,24.85
1,1989,24.29
1,1990,24.27
1,1991,24.31
1,1992,25.15
1,1993,24.68
1,1994,24.64
1,1995,25.39
1,1996,24.02
1,1997,23.94
1,1998,28.01
1,1999,24.18
1,2000,23.8
1,2001,24.15
1,2002,24.19
1,2003,24.62
1,2004,24.75
1,2005,24.86
1,2006,24.54
1,2007,25.34
1,2008,24.31
1,2009,24.71
1,2010,24.75
2,1951,25.04
2,1952,25.95
2,1953,26.24
2,1954,25.08
2,1955,24.87
2,1956,25.2
2,1957,25.9
2,1958,26.47
2,1959,25.76
2,1960,25.42
2,1961,26.46
2,1962,25.29
2,1963,25.48
2,1964,24.93
2,1965,25.84
2,1966,25.8
2,1967,25.59
2,1968,24.92
2,1969,25.64
2,1970,25.85
2,1971,24.71
2,1972,26.57
2,1973,26.29
2,1974,25.08
2,1975,25.17
2,1976,25.43
2,1977,25.77
2,1978,25.76
2,1979,25.74
2,1980,25.84
2,1981,25.15
2,1982,25.63
2,1983,28.16
2,1984,25.44
2,1985,25.13
2,1986,26.01
2,1987,27.01
2,1988,25.83
2,1989,25.98
2,1990,26.2
2,1991,25.97
2,1992,26.87
2,1993,26.42
2,1994,25.93
2,1995,26.22
2,1996,25.77
2,1997,26.16
2,1998,28.83
2,1999,25.71
2,2000,25.47
2,2001,25.72
2,2002,26.35
2,2003,26.01
2,2004,26.39
2,2005,25.49
2,2006,26.4
2,2007,26.38
2,2008,26.45
2,2009,25.84
2,2010,26.35
3,1951,25.51
3,1952,26.26
3,1953,27.12
3,1954,25.18
3,1955,25.11
3,1956,25.91
3,1957,27.18
3,1958,27.03
3,1959,26.75
3,1960,25.78
3,1961,25.88
3,1962,24.65
3,1963,25.83
3,1964,25.11
3,1965,26.35
3,1966,25.39
3,1967,25.37
3,1968,25.15
3,1969,26.97
3,1970,25.58
3,1971,25.29
3,1972,26.95
3,1973,26.32
3,1974,25.81
3,1975,26.11
3,1976,26.04
3,1977,26.02
3,1978,25.57
3,1979,26.07
3,1980,26.59
3,1981,26.19
3,1982,25.66
3,1983,29.0
3,1984,26.06
3,1985,25.82
3,1986,25.9
3,1987,27.95
3,1988,25.86
3,1989,26.31
3,1990,26.27
3,1991,26.44
3,1992,27.61
3,1993,26.88
3,1994,25.83
3,1995,26.2
3,1996,26.32
3,1997,27.07
3,1998,29.12
3,1999,26.18
3,2000,25.83
3,2001,26.73
3,2002,27.15
3,2003,26.61
3,2004,25.88
3,2005,25.72
3,2006,26.43
3,2007,26.32
3,2008,26.87
3,2009,26.1
3,2010,26.7
4,1951,25.19
4,1952,24.91
4,1953,26.96
4,1954,22.92
4,1955,24.31
4,1956,24.48
4,1957,26.62
4,1958,26.41
4,1959,25.65
4,1960,24.57
4,1961,25.04
4,1962,23.7
4,1963,24.34
4,1964,24.47
4,1965,26.48
4,1966,24.44
4,1967,24.99
4,1968,24.22
4,1969,26.5
4,1970,25.04
4,1971,25.08
4,1972,26.19
4,1973,25.12
4,1974,25.27
4,1975,25.41
4,1976,25.78
4,1977,25.31
4,1978,24.92
4,1979,25.63
4,1980,25.73
4,1981,25.1
4,1982,25.09
4,1983,28.94
4,1984,25.61
4,1985,24.41
4,1986,24.91
4,1987,26.91
4,1988,25.08
4,1989,25.39
4,1990,25.12
4,1991,25.45
4,1992,27.38
4,1993,26.6
4,1994,24.82
4,1995,24.77
4,1996,24.33
4,1997,26.5
4,1998,28.23
4,1999,24.66
4,2000,25.42
4,2001,26.0
4,2002,26.09
4,2003,25.14
4,2004,25.46
4,2005,25.43
4,2006,24.68
4,2007,24.9
4,2008,25.69
4,2009,26.07
4,2010,26.04
5,1951,24.55
5,1952,23.99
5,1953,25.37
5,1954,21.98
5,1955,22.48
5,1956,23.24
5,1957,26.36
5,1958,24.85
5,1959,24.21
5,1960,23.52
5,1961,23.68
5,1962,23.2
5,1963,23.89
5,1964,22.2
5,1965,25.74
5,1966,23.07
5,1967,23.9
5,1968,22.86
5,1969,25.79
5,1970,23.14
5,1971,23.53
5,1972,25.12
5,1973,23.68
5,1974,24.33
5,1975,23.66
5,1976,24.98
5,1977,23.87
5,1978,23.39
5,1979,24.52
5,1980,24.49
5,1981,23.92
5,1982,24.33
5,1983,28.27
5,1984,23.78
5,1985,23.02
5,1986,23.45
5,1987,25.85
5,1988,23.69
5,1989,23.46
5,1990,24.07
5,1991,24.23
5,1992,26.33
5,1993,25.44
5,1994,23.79
5,1995,23.6
5,1996,23.42
5,1997,26.4
5,1998,27.18
5,1999,23.84
5,2000,24.21
5,2001,24.06
5,2002,25.14
5,2003,23.1
5,2004,23.71
5,2005,24.28
5,2006,24.18
5,2007,23.28
5,2008,24.46
5,2009,24.89
5,2010,24.79
6,1951,24.57
6,1952,22.55
6,1953,23.5
6,1954,21.05
6,1955,21.3
6,1956,22.11
6,1957,24.79
6,1958,23.54
6,1959,22.62
6,1960,21.92
6,1961,22.2
6,1962,21.97
6,1963,22.46
6,1964,21.43
6,1965,24.17
6,1966,21.79
6,1967,22.22
6,1968,21.93
6,1969,24.13
6,1970,21.55
6,1971,21.77
6,1972,24.67
6,1973,21.98
6,1974,22.49
6,1975,22.0
6,1976,24.21
6,1977,22.94
6,1978,22.11
6,1979,23.29
6,1980,22.96
6,1981,22.78
6,1982,23.42
6,1983,27.24
6,1984,22.46
6,1985,22.23
6,1986,22.17
6,1987,24.15
6,1988,21.87
6,1989,22.21
6,1990,22.78
6,1991,23.12
6,1992,24.05
6,1993,24.07
6,1994,22.53
6,1995,22.53
6,1996,21.69
6,1997,25.92
6,1998,25.33
6,1999,22.41
6,2000,22.72
6,2001,22.75
6,2002,23.66
6,2003,22.17
6,2004,22.55
6,2005,22.56
6,2006,22.98
6,2007,21.82
6,2008,23.22
6,2009,23.92
6,2010,23.18
7,1951,23.79
7,1952,21.36
7,1953,22.1
7,1954,19.61
7,1955,20.77
7,1956,21.59
7,1957,23.63
7,1958,22.24
7,1959,21.54
7,1960,20.73
7,1961,20.73
7,1962,20.91
7,1963,21.73
7,1964,20.2
7,1965,22.98
7,1966,20.78
7,1967,21.16
7,1968,21.4
7,1969,22.41
7,1970,20.02
7,1971,21.1
7,1972,23.92
7,1973,20.94
7,1974,21.49
7,1975,21.15
7,1976,23.33
7,1977,21.67
7,1978,21.14
7,1979,21.92
7,1980,21.2
7,1981,21.26
7,1982,22.47
7,1983,25.84
7,1984,21.68
7,1985,20.92
7,1986,21.52
7,1987,23.15
7,1988,20.73
7,1989,21.36
7,1990,21.4
7,1991,22.52
7,1992,22.18
7,1993,22.69
7,1994,21.39
7,1995,21.37
7,1996,21.0
7,1997,25.36
7,1998,23.41
7,1999,21.78
7,2000,21.64
7,2001,21.48
7,2002,21.93
7,2003,21.27
7,2004,21.11
7,2005,21.67
7,2006,22.05
7,2007,21.24
7,2008,22.81
7,2009,22.98
7,2010,21.22
8,1951,22.25
8,1952,20.3
8,1953,21.39
8,1954,19.37
8,1955,19.81
8,1956,20.78
8,1957,22.15
8,1958,20.65
8,1959,20.13
8,1960,20.24
8,1961,20.02
8,1962,20.24
8,1963,21.18
8,1964,19.58
8,1965,22.23
8,1966,20.09
8,1967,20.11
8,1968,20.91
8,1969,20.97
8,1970,19.29
8,1971,19.83
8,1972,23.33
8,1973,19.58
8,1974,20.56
8,1975,20.11
8,1976,21.9
8,1977,20.29
8,1978,19.98
8,1979,21.08
8,1980,20.66
8,1981,20.24
8,1982,21.92
8,1983,24.01
8,1984,20.73
8,1985,20.04
8,1986,21.05
8,1987,22.0
8,1988,19.81
8,1989,20.74
8,1990,20.71
8,1991,21.46
8,1992,21.08
8,1993,21.52
8,1994,20.37
8,1995,20.61
8,1996,20.24
8,1997,24.7
8,1998,22.11
8,1999,20.86
8,2000,20.31
8,2001,20.3
8,2002,20.84
8,2003,21.03
8,2004,20.55
8,2005,20.64
8,2006,21.77
8,2007,20.2
8,2008,21.86
8,2009,21.74
8,2010,19.82
9,1951,21.45
9,1952,19.75
9,1953,21.05
9,1954,19.19
9,1955,19.6
9,1956,19.99
9,1957,21.75
9,1958,20.75
9,1959,20.27
9,1960,20.58
9,1961,19.73
9,1962,20.12
9,1963,20.88
9,1964,19.71
9,1965,21.1
9,1966,19.88
9,1967,19.27
9,1968,21.1
9,1969,20.83
9,1970,19.38
9,1971,19.49
9,1972,22.01
9,1973,19.5
9,1974,20.16
9,1975,19.34
9,1976,21.56
9,1977,19.87
9,1978,20.0
9,1979,21.01
9,1980,20.41
9,1981,20.32
9,1982,22.16
9,1983,22.37
9,1984,20.78
9,1985,19.89
9,1986,21.15
9,1987,21.91
9,1988,19.73
9,1989,20.18
9,1990,20.15
9,1991,21.36
9,1992,21.05
9,1993,21.05
9,1994,20.6
9,1995,20.48
9,1996,20.29
9,1997,24.52
9,1998,21.25
9,1999,19.84
9,2000,20.57
9,2001,19.98
9,2002,20.88
9,2003,20.46
9,2004,20.7
9,2005,20.1
9,2006,21.71
9,2007,20.08
9,2008,21.43
9,2009,21.17
9,2010,19.6
10,1951,21.77
10,1952,20.7
10,1953,21.04
10,1954,19.34
10,1955,19.47
10,1956,19.79
10,1957,21.79
10,1958,21.09
10,1959,20.84
10,1960,20.51
10,1961,20.26
10,1962,20.18
10,1963,20.99
10,1964,19.68
10,1965,21.31
10,1966,20.49
10,1967,19.46
10,1968,20.8
10,1969,21.68
10,1970,20.02
10,1971,19.81
10,1972,22.4
10,1973,19.83
10,1974,19.99
10,1975,19.28
10,1976,21.43
10,1977,20.43
10,1978,20.13
10,1979,21.4
10,1980,20.7
10,1981,20.75
10,1982,22.78
10,1983,22.24
10,1984,20.76
10,1985,20.28
10,1986,21.3
10,1987,22.6
10,1988,20.01
10,1989,20.72
10,1990,20.43
10,1991,21.72
10,1992,21.27
10,1993,21.58
10,1994,21.79
10,1995,20.61
10,1996,20.52
10,1997,24.67
10,1998,21.56
10,1999,20.22
10,2000,20.78
10,2001,20.13
10,2002,21.56
10,2003,21.25
10,2004,21.31
10,2005,20.06
10,2006,22.07
10,2007,19.69
10,2008,21.23
10,2009,21.21
10,2010,19.92
11,1951,22.31
11,1952,21.09
11,1953,21.68
11,1954,20.36
11,1955,20.05
11,1956,20.69
11,1957,22.44
11,1958,21.53
11,1959,21.86
11,1960,21.06
11,1961,21.37
11,1962,20.94
11,1963,21.32
11,1964,20.91
11,1965,21.92
11,1966,21.0
11,1967,20.07
11,1968,21.44
11,1969,22.32
11,1970,20.6
11,1971,20.97
11,1972,23.0
11,1973,20.66
11,1974,20.85
11,1975,19.63
11,1976,22.0
11,1977,21.28
11,1978,21.68
11,1979,21.77
11,1980,21.45
11,1981,21.5
11,1982,24.5
11,1983,22.38
11,1984,21.69
11,1985,21.16
11,1986,22.07
11,1987,22.83
11,1988,20.94
11,1989,21.62
11,1990,21.32
11,1991,22.42
11,1992,21.78
11,1993,22.1
11,1994,22.32
11,1995,21.63
11,1996,20.76
11,1997,25.76
11,1998,21.64
11,1999,20.51
11,2000,20.84
11,2001,21.07
11,2002,22.63
11,2003,21.89
11,2004,22.43
11,2005,20.81
11,2006,22.47
11,2007,20.19
11,2008,21.66
11,2009,21.92
11,2010,20.53
12,1951,22.91
12,1952,22.7
12,1953,22.42
12,1954,21.41
12,1955,21.41
12,1956,21.47
12,1957,23.44
12,1958,22.55
12,1959,22.64
12,1960,22.49
12,1961,22.42
12,1962,21.91
12,1963,22.41
12,1964,21.72
12,1965,23.11
12,1966,22.41
12,1967,21.2
12,1968,22.99
12,1969,23.48
