month,year,nino34
1,1951,25.4
1,1952,26.76
1,1953,26.95
1,1954,26.99
1,1955,25.88
1,1956,25.69
1,1957,26.09
1,1958,28.23
1,1959,27.05
1,1960,26.32
1,1961,26.35
1,1962,26.15
1,1963,25.94
1,1964,27.33
1,1965,25.78
1,1966,27.66
1,1967,26.05
1,1968,25.73
1,1969,27.4
1,1970,26.99
1,1971,24.96
1,1972,25.77
1,1973,28.2
1,1974,24.71
1,1975,26.21
1,1976,24.78
1,1977,27.37
1,1978,27.24
1,1979,26.48
1,1980,27.15
1,1981,26.39
1,1982,26.84
1,1983,28.82
1,1984,26.08
1,1985,25.67
1,1986,26.12
1,1987,27.74
1,1988,27.5
1,1989,24.81
1,1990,26.68
1,1991,27.12
1,1992,28.4
1,1993,26.87
1,1994,26.86
1,1995,27.68
1,1996,25.87
1,1997,26.16
1,1998,28.93
1,1999,25.13
1,2000,25.0
1,2001,25.98
1,2002,26.55
1,2003,27.44
1,2004,26.95
1,2005,27.39
1,2006,25.91
1,2007,27.44
1,2008,25.21
1,2009,25.8
1,2010,27.97
2,1951,25.78
2,1952,26.86
2,1953,27.25
2,1954,27.11
2,1955,25.92
2,1956,26.12
2,1957,26.53
2,1958,28.25
2,1959,27.22
2,1960,26.4
2,1961,26.51
2,1962,26.28
2,1963,26.31
2,1964,27.21
2,1965,26.33
2,1966,27.53
2,1967,26.22
2,1968,25.7
2,1969,27.75
2,1970,27.12
2,1971,25.34
2,1972,26.33
2,1973,27.92
2,1974,25.22
2,1975,26.17
2,1976,25.57
2,1977,27.22
2,1978,27.13
2,1979,26.59
2,1980,27.1
2,1981,26.28
2,1982,26.69
2,1983,28.68
2,1984,26.72
2,1985,26.23
2,1986,26.25
2,1987,27.97
2,1988,27.11
2,1989,25.43
2,1990,27.0
2,1991,27.18
2,1992,28.52
2,1993,27.24
2,1994,27.0
2,1995,27.58
2,1996,26.07
2,1997,26.49
2,1998,28.77
2,1999,25.64
2,2000,25.42
2,2001,26.31
2,2002,26.85
2,2003,27.55
2,2004,27.06
2,2005,27.33
2,2006,26.32
2,2007,27.09
2,2008,25.41
2,2009,26.18
2,2010,28.0
3,1951,27.02
3,1952,27.36
3,1953,27.64
3,1954,27.04
3,1955,26.4
3,1956,26.62
3,1957,27.43
3,1958,28.21
3,1959,27.43
3,1960,26.95
3,1961,26.9
3,1962,26.81
3,1963,27.15
3,1964,27.05
3,1965,26.98
3,1966,28.1
3,1967,26.51
3,1968,26.27
3,1969,27.87
3,1970,27.38
3,1971,26.04
3,1972,27.13
3,1973,27.7
3,1974,25.94
3,1975,26.38
3,1976,26.58
3,1977,27.56
3,1978,27.19
3,1979,27.41
3,1980,27.38
3,1981,26.8
3,1982,27.52
3,1983,28.72
3,1984,26.98
3,1985,26.65
3,1986,27.02
3,1987,28.47
3,1988,27.4
3,1989,26.2
3,1990,27.37
3,1991,27.44
3,1992,28.65
3,1993,27.78
3,1994,27.49
3,1995,27.8
3,1996,26.76
3,1997,27.03
3,1998,28.68
3,1999,26.51
3,2000,26.35
3,2001,26.96
3,2002,27.4
3,2003,27.79
3,2004,27.45
3,2005,27.89
3,2006,26.83
3,2007,27.37
3,2008,26.27
3,2009,26.96
3,2010,28.24
4,1951,27.63
4,1952,28.02
4,1953,28.22
4,1954,26.89
4,1955,26.7
4,1956,26.82
4,1957,28.14
4,1958,28.27
4,1959,27.85
4,1960,27.62
4,1961,27.36
4,1962,27.22
4,1963,27.76
4,1964,27.05
4,1965,27.49
4,1966,28.14
4,1967,26.84
4,1968,27.08
4,1969,28.2
4,1970,27.89
4,1971,26.69
4,1972,27.89
4,1973,27.54
4,1974,26.64
4,1975,27.02
4,1976,27.06
4,1977,27.64
4,1978,27.21
4,1979,27.93
4,1980,27.86
4,1981,27.42
4,1982,28.13
4,1983,28.83
4,1984,27.3
4,1985,26.85
4,1986,27.63
4,1987,28.66
4,1988,27.53
4,1989,26.79
4,1990,27.89
4,1991,28.13
4,1992,29.04
4,1993,28.62
4,1994,28.17
4,1995,28.17
4,1996,27.52
4,1997,28.01
4,1998,28.72
4,1999,26.97
4,2000,27.01
4,2001,27.46
4,2002,27.97
4,2003,27.83
4,2004,28.0
4,2005,28.24
4,2006,27.67
4,2007,27.7
4,2008,26.99
4,2009,27.78
4,2010,28.35
5,1951,27.99
5,1952,28.16
5,1953,28.34
5,1954,27.12
5,1955,26.97
5,1956,27.35
5,1957,28.42
5,1958,28.33
5,1959,27.74
5,1960,27.66
5,1961,27.72
5,1962,27.2
5,1963,27.59
5,1964,27.01
5,1965,27.97
5,1966,27.66
5,1967,27.43
5,1968,27.31
5,1969,28.31
5,1970,27.77
5,1971,27.05
5,1972,28.28
5,1973,27.16
5,1974,26.78
5,1975,27.06
5,1976,27.34
5,1977,27.95
5,1978,27.41
5,1979,27.88
5,1980,28.15
5,1981,27.52
5,1982,28.46
5,1983,28.89
5,1984,27.42
5,1985,27.11
5,1986,27.64
5,1987,28.6
5,1988,26.96
5,1989,27.19
5,1990,28.05
5,1991,28.29
5,1992,29.0
5,1993,28.87
5,1994,28.36
5,1995,28.0
5,1996,27.75
5,1997,28.52
5,1998,28.63
5,1999,27.05
5,2000,27.22
5,2001,27.75
5,2002,28.35
5,2003,27.57
5,2004,28.13
5,2005,28.41
5,2006,27.96
5,2007,27.71
5,2008,27.25
5,2009,28.16
5,2010,27.97
6,1951,27.51
6,1952,27.48
6,1953,28.18
6,1954,27.04
6,1955,26.82
6,1956,27.08
6,1957,28.28
6,1958,28.16
6,1959,27.35
6,1960,27.21
6,1961,27.72
6,1962,27.19
6,1963,27.62
6,1964,26.67
6,1965,28.09
6,1966,27.75
6,1967,27.57
6,1968,27.91
6,1969,27.9
6,1970,27.15
6,1971,26.66
6,1972,28.22
6,1973,26.78
6,1974,26.64
6,1975,26.48
6,1976,27.37
6,1977,27.93
6,1978,27.15
6,1979,27.59
6,1980,28.04
6,1981,27.42
6,1982,28.33
6,1983,28.33
6,1984,27.07
6,1985,26.97
6,1986,27.57
6,1987,28.61
6,1988,26.27
6,1989,27.21
6,1990,27.72
6,1991,28.27
6,1992,28.51
6,1993,28.28
6,1994,28.08
6,1995,27.77
6,1996,27.54
6,1997,28.82
6,1998,27.57
6,1999,26.7
6,2000,27.07
6,2001,27.66
6,2002,28.5
6,2003,27.65
6,2004,27.93
6,2005,27.96
6,2006,27.85
6,2007,27.58
6,2008,27.2
6,2009,28.15
6,2010,27.28
7,1951,27.58
7,1952,26.93
7,1953,27.61
7,1954,26.44
7,1955,26.44
7,1956,26.51
7,1957,28.14
7,1958,27.37
7,1959,26.56
7,1960,26.86
7,1961,27.08
7,1962,26.87
7,1963,27.78
7,1964,26.28
7,1965,27.94
7,1966,27.27
7,1967,27.01
7,1968,27.56
7,1969,27.26
7,1970,26.4
7,1971,26.31
7,1972,28.15
7,1973,25.99
7,1974,26.47
7,1975,26.15
7,1976,27.16
7,1977,27.51
7,1978,26.77
7,1979,27.05
7,1980,27.47
7,1981,26.79
7,1982,27.76
7,1983,27.25
7,1984,26.96
7,1985,26.8
7,1986,27.27
7,1987,28.54
7,1988,25.75
7,1989,26.86
7,1990,27.51
7,1991,28.09
7,1992,27.76
7,1993,27.59
7,1994,27.64
7,1995,27.2
7,1996,27.1
7,1997,28.75
7,1998,26.55
7,1999,26.36
7,2000,26.75
7,2001,27.38
7,2002,28.09
7,2003,27.57
7,2004,27.9
7,2005,27.22
7,2006,27.42
7,2007,27.0
7,2008,27.05
7,2009,27.86
